<<<<<<< HEAD
'CAE';'T';26.70;273.10;53.80;277.10;'Arial';10;1;0;0;0;0;'I';'61101021770094';0
'CAE.L';'T';9.70;273.10;25.70;277.10;'Arial';10;1;0;0;0;0;'I';'C.A.E. N\xba';0
'CAE.Vencimiento';'T';84.10;273.10;102.80;277.10;'Arial';10;1;0;0;0;0;'I';'31/12/2010';0
'CAE.Vencimiento.L';'T';56.10;273.10;83.10;277.10;'Arial';10;1;0;0;0;0;'I';'Fecha Vto. CAE:';0
'CUIT';'T';105.60;32.90;156.60;37.90;'Arial';10;0;0;0;0;0;'C';'';2
'Cliente';'T';9.10;44.90;25.30;50.90;'Arial';10;0;0;0;0;0;'I';'Sr.(s):';0
'Cliente.CUIT';'T';101.00;59.80;141.00;64.80;'Arial';10;0;0;0;0;65535;'I';None;0
'Cliente.Domicilio';'T';26.50;49.80;140.60;55.80;'Arial';10;0;0;0;0;65535;'I';None;0
'Cliente.Domicilio.L';'t';9.20;50.00;30.40;56.00;'Arial';10;0;0;0;0;0;'I';'Direcci\xf3n:';0
'Cliente.IVA.L';'T';9.10;59.90;27.30;64.90;'Arial';10;0;0;0;0;0;'I';'IVA:';0
'Cliente.Localidad.L';'T';9.00;54.40;28.00;60.40;'Arial';10;0;0;0;0;0;'I';'Localidad:';0
'Cliente.Nombre';'T';45.80;44.80;116.60;50.80;'Arial';10;0;0;0;0;65535;'I';None;0
'Cliente.Provincia.L';'T';81.00;54.80;100.00;60.80;'Arial';10;0;0;0;0;0;'I';'Provincia:';0
'Cliente.TipoDoc';'T';81.00;59.80;101.00;64.80;'Arial';10;0;0;0;0;0;'I';'CUIT:';0
'Comprobante.N\xba';'T';127.20;19.70;137.20;25.20;'Arial';14;1;0;0;0;0;'I';'N\xba: ';2
'ComprobanteEx.L';'T';110.20;8.80;205.90;13.30;'Arial Black';13;0;0;0;0;0;'C';'FACTURA';2
'Cuadro';'B';7.90;8.00;207.90;286.70;'Arial';0;0;0;0;0;0;'I';None;-3
